candidate_id,name,parent_place,phone,address,lat,lng,center_role,type,coverage_scope,detail_location,operating_hours,handoff_available,inquiry_available,website,source_type,source_url,verification_status,confidence_score,notes
kakao_172568531,숭실대학교 장애학생지원센터,숭실대학교,,서울 동작구 상도로 369,37.4968811165717,126.957913187043,,,,,,,,http://place.map.kakao.com/172568531,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 학생지원센터; category=사회,공공기관 > 단체,협회 > 사회복지시설 > 장애인복지시설"
kakao_26467170,숭실대학교 중앙도서관,숭실대학교,02-820-0734,서울 동작구 상도로 369,37.4962614738396,126.958620309629,,,,,,,,http://place.map.kakao.com/26467170,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=교육,학문 > 학습시설 > 도서관"
kakao_10797399,중앙대학교 서울캠퍼스 중앙도서관,숭실대학교,02-820-6180,서울 동작구 흑석로 84,37.5047847636142,126.957977739725,,,,,,,,http://place.map.kakao.com/10797399,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=교육,학문 > 학습시설 > 도서관"
kakao_1276128492,중앙대학교 의학도서관,숭실대학교,,서울 동작구 흑석동 340-4,37.5056051205112,126.959239454348,,,,,,,,http://place.map.kakao.com/1276128492,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=교육,학문 > 학습시설 > 도서관"
kakao_12631473,중앙대학교 법학전문도서관,숭실대학교,02-820-6566,서울 동작구 흑석로 84,37.50467675792393,126.95582330875442,,,,,,,,http://place.map.kakao.com/12631473,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=교육,학문 > 학습시설 > 도서관"
kakao_195496608,프린트카페 중앙대중앙도서관점,숭실대학교,1522-5044,서울 동작구 흑석로 84,37.504883902711,126.958057983014,,,,,,,,http://place.map.kakao.com/195496608,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=서비스,산업 > 인쇄,복사"
kakao_1710668532,숭실대학교 중앙도서관 전기차충전소,숭실대학교,,서울 동작구 상도로 369,37.496428698432915,126.9551575783168,,,,,,,,http://place.map.kakao.com/1710668532,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=교통,수송 > 자동차 > 전기차 충전소"
kakao_1643285382,숭실대학교 중앙도서관 전기차충전소,숭실대학교,,서울 동작구 상도로 369,37.496428698432915,126.9551575783168,,,,,,,,http://place.map.kakao.com/1643285382,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 중앙도서관; category=교통,수송 > 자동차 > 전기차 충전소"
kakao_26775959,CU 중앙대2생활관점,숭실대학교,02-812-4262,서울 동작구 흑석로 84,37.50235062065009,126.95652133316356,,,,,,,,http://place.map.kakao.com/26775959,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 생활관; category=가정,생활 > 편의점 > CU"
kakao_15581770,정캐터링 숭실대학교 제2생활관,숭실대학교,02-442-4201,서울 동작구 상도로 369,37.4950584079133,126.96060669618,,,,,,,,http://place.map.kakao.com/15581770,kakao_local_api,https://developers.kakao.com/docs/en/local/dev-guide,auto_collected,,"source_query=숭실대학교 생활관; category=서비스,산업 > 식품 > 식품서비스업"
